date,type,tree0,tree1,tree2,tree3
1977,A,"
GTreeNodeBase [Childs=0] - [[0.03, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[0.03, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[0.03, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[0.36, 'TargBetweenness']]
"
1977,B,"
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=2] - [N]
      GTreeNodeBase [Childs=0] - [[2.77, 'NormalizedOrigId']]
  GTreeNodeBase [Childs=2] - [*]
    GTreeNodeBase [Childs=0] - [[0.27, 'NumberOfEdges']]
    GTreeNodeBase [Childs=0] - [[2.44, 'SameCommunity']]
","
GTreeNodeBase [Childs=0] - [[8.31, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[1.43, 'Loop']]
  GTreeNodeBase [Childs=2] - [H]
    GTreeNodeBase [Childs=2] - [*]
      GTreeNodeBase [Childs=2] - [*]
        GTreeNodeBase [Childs=0] - [[0.35, 'TargDegree']]
        GTreeNodeBase [Childs=0] - [[9.04, 'NormalizedOrigId']]
      GTreeNodeBase [Childs=2] - [T]
        GTreeNodeBase [Childs=0] - [[2.44, 'SameCommunity']]
","
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[1.43, 'Loop']]
  GTreeNodeBase [Childs=2] - [H]
    GTreeNodeBase [Childs=2] - [*]
      GTreeNodeBase [Childs=2] - [*]
        GTreeNodeBase [Childs=0] - [[0.35, 'OrigCoreN']]
        GTreeNodeBase [Childs=0] - [[2.44, 'SameCommunity']]
      GTreeNodeBase [Childs=2] - [T]
        GTreeNodeBase [Childs=2] - [inv]
          GTreeNodeBase [Childs=0] - [[10.25, 'NormalizedTargDegree']]
"
1977,C,"
GTreeNodeBase [Childs=2] - [opp]
  GTreeNodeBase [Childs=2] - [opp]
    GTreeNodeBase [Childs=2] - [abs]
      GTreeNodeBase [Childs=0] - [[1.99, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[0.2, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[5.65, 'SameCommunity']]
","
GTreeNodeBase [Childs=2] - [abs]
  GTreeNodeBase [Childs=2] - [min]
    GTreeNodeBase [Childs=0] - [[5.63, 'TargBetweenness']]
    GTreeNodeBase [Childs=0] - [[6.04, 'SameCommunity']]
"
1977,L,"
GTreeNodeBase [Childs=2] - [-]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=2] - [exp]
      GTreeNodeBase [Childs=2] - [H]
        GTreeNodeBase [Childs=2] - [opp]
          GTreeNodeBase [Childs=0] - [[1.25, 'OrigCloseness']]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=0] - [[0.27, 'NormalizedOrigId']]
    GTreeNodeBase [Childs=2] - [*]
      GTreeNodeBase [Childs=2] - [exp]
        GTreeNodeBase [Childs=0] - [[3.74, 'CommonNeighbors']]
      GTreeNodeBase [Childs=0] - [[1.49, 'Loop']]
","
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[4.38, 'CommonNeighbors']]
  GTreeNodeBase [Childs=2] - [log]
    GTreeNodeBase [Childs=0] - [[1.25, 'OrigCloseness']]
","
GTreeNodeBase [Childs=2] - [-]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=2] - [exp]
      GTreeNodeBase [Childs=2] - [H]
        GTreeNodeBase [Childs=2] - [opp]
          GTreeNodeBase [Childs=0] - [[1.25, 'OrigCloseness']]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=0] - [[0.27, 'NormalizedOrigId']]
    GTreeNodeBase [Childs=2] - [*]
      GTreeNodeBase [Childs=2] - [exp]
        GTreeNodeBase [Childs=0] - [[3.74, 'CommonNeighbors']]
      GTreeNodeBase [Childs=0] - [[1.49, 'Loop']]
","
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[3.74, 'CommonNeighbors']]
  GTreeNodeBase [Childs=0] - [[1.49, 'Loop']]
"
1977,T,"
GTreeNodeBase [Childs=2] - [inv]
  GTreeNodeBase [Childs=0] - [[4.59, 'Distance']]
","
GTreeNodeBase [Childs=2] - [inv]
  GTreeNodeBase [Childs=0] - [[4.62, 'RevDistance']]
","
GTreeNodeBase [Childs=2] - [inv]
  GTreeNodeBase [Childs=0] - [[4.62, 'RevDistance']]
","
GTreeNodeBase [Childs=2] - [inv]
  GTreeNodeBase [Childs=0] - [[4.62, 'RevDistance']]
"
1977,TL,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.38, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.38, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [abs]
  GTreeNodeBase [Childs=0] - [[4.28, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[2.62, 'Loop']]
"
1978,A,"
GTreeNodeBase [Childs=0] - [[0.01, 'OrigBetweenness']]
","
GTreeNodeBase [Childs=0] - [[0.01, 'OrigBetweenness']]
","
GTreeNodeBase [Childs=0] - [[0.01, 'OrigBetweenness']]
","
GTreeNodeBase [Childs=0] - [[0.01, 'OrigBetweenness']]
"
1978,B,"
GTreeNodeBase [Childs=2] - [>]
  GTreeNodeBase [Childs=2] - [>]
    GTreeNodeBase [Childs=2] - [abs]
      GTreeNodeBase [Childs=2] - [opp]
        GTreeNodeBase [Childs=0] - [[1.04, 'TargPagerank']]
    GTreeNodeBase [Childs=0] - [[6.44, 'CommonNeighbors']]
  GTreeNodeBase [Childs=0] - [[9.03, 'NormalizedDistance']]
","
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=0] - [[8.3, 'TargBetweenness']]
  GTreeNodeBase [Childs=2] - [=]
    GTreeNodeBase [Childs=2] - [abs]
      GTreeNodeBase [Childs=2] - [opp]
        GTreeNodeBase [Childs=0] - [[1.04, 'TargPagerank']]
    GTreeNodeBase [Childs=0] - [[9.03, 'NormalizedDistance']]
","
GTreeNodeBase [Childs=2] - [=]
  GTreeNodeBase [Childs=0] - [[9.03, 'NormalizedDistance']]
  GTreeNodeBase [Childs=2] - [>]
    GTreeNodeBase [Childs=0] - [[0.68, 'Loop']]
    GTreeNodeBase [Childs=0] - [[6.44, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [opp]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=2] - [max]
        GTreeNodeBase [Childs=0] - [[8.3, 'TargBetweenness']]
        GTreeNodeBase [Childs=2] - [T]
          GTreeNodeBase [Childs=0] - [[0.83, 'TargDegree']]
      GTreeNodeBase [Childs=2] - [opp]
        GTreeNodeBase [Childs=0] - [[4.95, 'OrigDegree']]
    GTreeNodeBase [Childs=2] - [opp]
      GTreeNodeBase [Childs=0] - [[1.26, 'Loop']]
"
1978,C,"
GTreeNodeBase [Childs=2] - [=]
  GTreeNodeBase [Childs=2] - [*]
    GTreeNodeBase [Childs=0] - [[5.12, 'NormalizedRevDistance']]
    GTreeNodeBase [Childs=0] - [[1.55, 'TargDegree']]
  GTreeNodeBase [Childs=2] - [T]
    GTreeNodeBase [Childs=0] - [[2.1, 'NormalizedTargId']]
","
GTreeNodeBase [Childs=2] - [=]
  GTreeNodeBase [Childs=0] - [[4.82, 'NormalizedDistance']]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=0] - [[5.12, 'NormalizedRevDistance']]
    GTreeNodeBase [Childs=0] - [[3.66, 'NormalizedDistance']]
","
GTreeNodeBase [Childs=2] - [=]
  GTreeNodeBase [Childs=0] - [[4.82, 'NormalizedDistance']]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=2] - [min]
      GTreeNodeBase [Childs=0] - [[2.17, 'OrigId']]
      GTreeNodeBase [Childs=2] - [T]
        GTreeNodeBase [Childs=2] - [min]
          GTreeNodeBase [Childs=2] - [*]
            GTreeNodeBase [Childs=0] - [[1.8, 'CommonNeighbors']]
            GTreeNodeBase [Childs=0] - [[0.15, 'NormalizedRevDistance']]
          GTreeNodeBase [Childs=0] - [[0.44, 'NormalizedDistance']]
    GTreeNodeBase [Childs=0] - [[3.66, 'NormalizedDistance']]
","
GTreeNodeBase [Childs=2] - [=]
  GTreeNodeBase [Childs=2] - [min]
    GTreeNodeBase [Childs=0] - [[6.05, 'Constant']]
    GTreeNodeBase [Childs=2] - [min]
      GTreeNodeBase [Childs=2] - [min]
        GTreeNodeBase [Childs=0] - [[5.3, 'NormalizedRevDistance']]
        GTreeNodeBase [Childs=0] - [[21.48, 'TargPagerank']]
      GTreeNodeBase [Childs=2] - [H]
        GTreeNodeBase [Childs=0] - [[5.12, 'NormalizedRevDistance']]
  GTreeNodeBase [Childs=2] - [min]
    GTreeNodeBase [Childs=0] - [[0.95, 'SameCommunity']]
    GTreeNodeBase [Childs=0] - [[6.63, 'NormalizedRevDistance']]
"
1978,L,"
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[7.51, 'TargClustering']]
  GTreeNodeBase [Childs=2] - [abs]
    GTreeNodeBase [Childs=0] - [[6.96, 'SameCommunity']]
","
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=0] - [[7.51, 'CommonNeighbors']]
  GTreeNodeBase [Childs=0] - [[1.4, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=2] - [log]
    GTreeNodeBase [Childs=2] - [*]
      GTreeNodeBase [Childs=0] - [[0.5, 'OrigBetweenness']]
      GTreeNodeBase [Childs=0] - [[1.35, 'Loop']]
  GTreeNodeBase [Childs=0] - [[1.4, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [log]
  GTreeNodeBase [Childs=2] - [*]
    GTreeNodeBase [Childs=0] - [[5.83, 'TargId']]
    GTreeNodeBase [Childs=0] - [[1.35, 'Loop']]
"
