date,type,tree0,tree1,tree2,tree3
1977,all,"
GTreeNodeBase [Childs=0] - [[3.96, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[3.96, 'Loop']]
","
GTreeNodeBase [Childs=2] - [log]
  GTreeNodeBase [Childs=2] - [min]
    GTreeNodeBase [Childs=0] - [[2.27, 'Loop']]
    GTreeNodeBase [Childs=0] - [[9.47, 'OrigCoreN']]
","
GTreeNodeBase [Childs=0] - [[2.27, 'Loop']]
"
1977,B,"
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[0.04, 'NormalizedOrigDegree']]
  GTreeNodeBase [Childs=0] - [[1.84, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [log]
  GTreeNodeBase [Childs=2] - [<]
    GTreeNodeBase [Childs=2] - [opp]
      GTreeNodeBase [Childs=2] - [log]
        GTreeNodeBase [Childs=0] - [[6.01, 'CommonNeighbors']]
    GTreeNodeBase [Childs=0] - [[1.84, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [log]
  GTreeNodeBase [Childs=2] - [<]
    GTreeNodeBase [Childs=2] - [log]
      GTreeNodeBase [Childs=2] - [log]
        GTreeNodeBase [Childs=0] - [[9.14, 'CommonNeighbors']]
    GTreeNodeBase [Childs=0] - [[1.84, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [log]
  GTreeNodeBase [Childs=2] - [<]
    GTreeNodeBase [Childs=2] - [log]
      GTreeNodeBase [Childs=2] - [log]
        GTreeNodeBase [Childs=0] - [[6.01, 'CommonNeighbors']]
    GTreeNodeBase [Childs=0] - [[1.84, 'CommonNeighbors']]
"
1977,C,"
GTreeNodeBase [Childs=2] - [+]
  GTreeNodeBase [Childs=0] - [[8.51, 'CommonNeighbors']]
  GTreeNodeBase [Childs=2] - [min]
    GTreeNodeBase [Childs=2] - [+]
      GTreeNodeBase [Childs=0] - [[6.42, 'Loop']]
      GTreeNodeBase [Childs=0] - [[7.09, 'CommonNeighbors']]
    GTreeNodeBase [Childs=0] - [[6.42, 'Loop']]
","
GTreeNodeBase [Childs=2] - [+]
  GTreeNodeBase [Childs=0] - [[6.42, 'Loop']]
  GTreeNodeBase [Childs=0] - [[5.16, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[6.42, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[17.35, 'CommonNeighbors']]
"
1977,L,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[5.85, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[5.85, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.2, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[5.85, 'CommonNeighbors']]
"
1977,T,"
GTreeNodeBase [Childs=0] - [[1.68, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[1.68, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[1.68, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[1.68, 'CommonNeighbors']]
"
1977,TL,"
GTreeNodeBase [Childs=0] - [[7.55, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[10.87, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[1.15, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[7.09, 'CommonNeighbors']]
"
1978,all,"
GTreeNodeBase [Childs=0] - [[2.55, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[13.24, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[0.02, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[0.81, 'Loop']]
"
1978,B,"
GTreeNodeBase [Childs=2] - [log]
  GTreeNodeBase [Childs=2] - [inv]
    GTreeNodeBase [Childs=0] - [[9.57, 'Distance']]
","
GTreeNodeBase [Childs=2] - [=]
  GTreeNodeBase [Childs=2] - [inv]
    GTreeNodeBase [Childs=0] - [[9.57, 'Distance']]
  GTreeNodeBase [Childs=2] - [inv]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=2] - [inv]
        GTreeNodeBase [Childs=0] - [[9.57, 'Distance']]
      GTreeNodeBase [Childs=0] - [[6.3, 'SameCommunity']]
","
GTreeNodeBase [Childs=2] - [-]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=0] - [[5.22, 'OrigClustering']]
    GTreeNodeBase [Childs=2] - [abs]
      GTreeNodeBase [Childs=2] - [T]
        GTreeNodeBase [Childs=0] - [[10.08, 'TargCloseness']]
  GTreeNodeBase [Childs=2] - [abs]
    GTreeNodeBase [Childs=2] - [T]
      GTreeNodeBase [Childs=0] - [[8.45, 'OrigCloseness']]
","
GTreeNodeBase [Childs=2] - [-]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=0] - [[5.22, 'OrigClustering']]
    GTreeNodeBase [Childs=2] - [abs]
      GTreeNodeBase [Childs=2] - [N]
        GTreeNodeBase [Childs=0] - [[10.08, 'TargCloseness']]
  GTreeNodeBase [Childs=2] - [abs]
    GTreeNodeBase [Childs=2] - [T]
      GTreeNodeBase [Childs=0] - [[8.45, 'OrigCloseness']]
"
1978,C,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[5.02, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[5.02, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[5.02, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[5.02, 'CommonNeighbors']]
"
1978,L,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.41, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[5.07, 'SameCommunity']]
","
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[2.41, 'CommonNeighbors']]
  GTreeNodeBase [Childs=0] - [[5.07, 'SameCommunity']]
","
GTreeNodeBase [Childs=2] - [abs]
  GTreeNodeBase [Childs=0] - [[0.86, 'CommonNeighbors']]
"
